Campus;Cod_Curso;Curso;A0;L1;L2;L5;L6;L9;L10;L13;L14;Total
VI;682;ENG. DE AGRIMENSURA E CARTOGRÁFICA;20;3;5;3;5;1;1;1;1;40
VI;691;ENGENHARIA DE ALIMENTOS;30;5;8;5;8;1;1;1;1;60
VI;21585;ENGENHARIA DE PRODUÇÃO;20;3;5;3;5;1;1;1;1;40
VI;39087;ENGENHARIA ELÉTRICA;20;3;5;3;5;1;1;1;1;40
VI;692;ENGENHARIA FLORESTAL;30;5;8;5;8;1;1;1;1;60
VI;109826;ENGENHARIA MECÂNICA;20;3;5;3;5;1;1;1;1;40
VI;109828;ENGENHARIA QUÍMICA;20;3;5;3;5;1;1;1;1;40
VI;1068548;MEDICINA;25;5;6;4;6;1;1;1;1;50
VI;695;MEDICINA VETERINÁRIA;30;5;8;5;8;1;1;1;1;60
VI;698;NUTRIÇÃO;25;5;6;4;6;1;1;1;1;50
VI;697;PEDAGOGIA;30;5;8;5;8;1;1;1;1;60
VI;18860;SECRETARIADO EXECUTIVO TRILINGUE;12;2;3;1;3;1;1;1;1;25
VI;1376265;SERVIÇO SOCIAL;30;5;8;5;8;1;1;1;1;60
VI;701;ZOOTECNIA;40;8;10;8;10;1;1;1;1;80
FL;1126514;ADMINISTRAÇÃO - FL;30;5;8;5;8;1;1;1;1;60
FL;1113139;AGRONOMIA - FL;22;4;6;4;5;1;1;1;1;45
FL;1161839;CIÊNCIA DA COMPUTAÇÃO - FL;25;5;6;4;6;1;1;1;1;50
FL;122354;LICENCIATURA EM CIÊNCIAS BIOLÓGICAS - FL;12;2;3;1;3;1;1;1;1;25
FL;1114569;LICENCIATURA EM EDUCAÇÃO FÍSICA - FL;25;5;6;4;6;1;1;1;1;50
FL;1109544;ENGENHARIA DE ALIMENTOS - FL;22;4;6;4;5;1;1;1;1;45
FL;122356;LICENCIATURA EM FÍSICA - FL;12;2;3;1;3;1;1;1;1;25
FL;112074;GESTÃO AMBIENTAL - FL;25;5;6;4;6;1;1;1;1;50
FL;122358;LICENCIATURA EM MATEMÁTICA - FL;12;2;3;1;3;1;1;1;1;25
FL;122360;LICENCIATURA EM QUÍMICA - FL;12;2;3;1;3;1;1;1;1;25
RP;111120;ADMINISTRAÇÃO - DIURNO - RP;25;5;6;4;6;1;1;1;1;50
RP;111120;ADMINISTRAÇÃO - NOTURNO - RP;25;5;6;4;6;1;1;1;1;50
RP;111128;AGRONOMIA - RP;25;5;6;4;6;1;1;1;1;50
RP;118058;CIÊNCIA E TECNOLOGIA DE ALIMENTOS - RP;25;5;6;4;6;1;1;1;1;50
RP;1135277;CIÊNCIAS BIOLÓGICAS - RP;25;5;6;4;6;1;1;1;1;50
RP;1111410;CIÊNCIAS CONTÁBEIS - RP;25;5;6;4;6;1;1;1;1;50
RP;1118495;ENGENHARIA CIVIL - RP;25;5;6;4;6;1;1;1;1;50
RP;1112659;ENGENHARIA DE PRODUÇÃO - RP;25;5;6;4;6;1;1;1;1;50
RP;1112821;NUTRIÇÃO - RP;12;2;3;1;3;1;1;1;1;25
RP;1134829;QUÍMICA - RP;12;2;3;1;3;1;1;1;1;25
RP;118336;SISTEMAS DE INFORMAÇÃO - NOTURNO - RP;25;5;6;4;6;1;1;1;1;50
RP;118336;SISTEMAS DE INFORMAÇÃO - DIURNO - RP;25;5;6;4;6;1;1;1;1;50
UFV;Total da IES (UFV) ;UNIVERSIDADE FEDERAL DE VIÇOSA;1600;283;403;255;397;68;68;68;68;3210
